model,domain,classic,codemode
deepseek-chat-v3-0324,message_decoder,0.7083,0.4167
deepseek-chat-v3-0324,dna_sequencer,0.6667,0.1364
deepseek-chat-v3-0324,travel_itinerary_planning,0.6889,0.6444
deepseek-chat-v3-0324,trade_calculator,0.2941,0.3137
qwen3-14b,message_decoder,0.5833,0.6667
qwen3-14b,dna_sequencer,0.4583,0.5833
qwen3-14b,travel_itinerary_planning,0.6000,0.6444
qwen3-14b,trade_calculator,0.7843,0.4902
qwen3-235b-a22b-2507,message_decoder,0.9167,0.8750
qwen3-235b-a22b-2507,dna_sequencer,0.6250,0.7083
qwen3-235b-a22b-2507,travel_itinerary_planning,0.7778,0.8444
qwen3-235b-a22b-2507,trade_calculator,0.6667,0.7059
qwen3-30b-a3b,message_decoder,0.2083,0.4167
qwen3-30b-a3b,dna_sequencer,0.4583,0.5417
qwen3-30b-a3b,travel_itinerary_planning,0.4000,0.5556
qwen3-30b-a3b,trade_calculator,0.4902,0.5490
qwen3-8b,message_decoder,0.3750,0.3333
qwen3-8b,dna_sequencer,0.3333,0.3333
qwen3-8b,travel_itinerary_planning,0.3778,0.3778
qwen3-8b,trade_calculator,0.4902,0.4118
qwen3-coder-30b-a3b-instruct,message_decoder,0.5000,0.5833
qwen3-coder-30b-a3b-instruct,dna_sequencer,0.7083,0.7500
qwen3-coder-30b-a3b-instruct,travel_itinerary_planning,0.6667,0.6444
qwen3-coder-30b-a3b-instruct,trade_calculator,0.3922,0.5686
